3,1,117.76,53.59,816.77,985.60,1,-1,-1,-1
4,1,125.54,39.81,838.78,1000.63,1,-1,-1,-1
4,2,983.53,73.46,1126.47,972.60,1,-1,-1,-1
5,1,127.34,36.20,856.98,1008.34,1,-1,-1,-1
5,2,965.63,45.69,1143.23,999.99,1,-1,-1,-1
6,1,108.31,16.07,891.33,1036.25,1,-1,-1,-1
6,2,842.12,19.57,1178.03,1035.15,1,-1,-1,-1
7,1,99.56,14.73,904.88,1038.20,1,-1,-1,-1
7,2,808.85,11.22,1189.70,1052.45,1,-1,-1,-1
8,1,98.84,24.24,904.94,1022.64,1,-1,-1,-1
8,2,807.19,11.12,1179.70,1051.03,1,-1,-1,-1
9,1,103.60,24.70,913.04,1017.78,1,-1,-1,-1
9,2,816.72,13.91,1164.03,1044.90,1,-1,-1,-1
10,1,161.77,29.79,928.87,1011.73,1,-1,-1,-1
10,2,824.21,3.98,1171.14,1063.07,1,-1,-1,-1
11,1,176.62,36.53,945.28,1005.96,1,-1,-1,-1
11,2,870.79,26.72,1117.52,1034.01,1,-1,-1,-1
12,1,166.48,40.48,967.19,1006.41,1,-1,-1,-1
12,2,895.20,44.72,1072.42,1011.50,1,-1,-1,-1
13,1,163.72,43.33,981.33,999.85,1,-1,-1,-1
13,2,958.38,34.71,1056.43,1018.50,1,-1,-1,-1
14,1,172.87,43.74,1002.38,994.00,1,-1,-1,-1
14,2,980.77,23.12,1050.12,1033.68,1,-1,-1,-1
15,1,249.12,35.23,1037.61,1004.50,1,-1,-1,-1
15,2,997.41,15.60,1041.46,1047.86,1,-1,-1,-1
16,1,267.73,32.07,1074.42,1011.72,1,-1,-1,-1
16,2,1008.02,7.65,1035.64,1066.26,1,-1,-1,-1
17,1,273.11,39.51,1100.32,1007.80,1,-1,-1,-1
17,2,1048.28,31.07,984.08,1034.96,1,-1,-1,-1
18,1,263.09,39.73,1132.77,1010.23,1,-1,-1,-1
18,2,1077.10,29.05,958.84,1033.84,1,-1,-1,-1
19,1,252.37,43.13,1151.09,1004.50,1,-1,-1,-1
19,2,1117.50,52.89,900.75,998.21,1,-1,-1,-1
20,1,252.85,45.09,1167.68,1000.30,1,-1,-1,-1
20,2,1146.31,58.00,860.89,985.94,1,-1,-1,-1
