3,1,1332.58,273.46,408.89,803.98,1,-1,-1,-1
3,2,264.84,73.38,406.25,1000.17,1,-1,-1,-1
3,3,595.88,19.50,700.07,1027.40,1,-1,-1,-1
4,1,1329.88,271.33,412.57,807.15,1,-1,-1,-1
4,2,267.65,72.33,401.18,991.20,1,-1,-1,-1
4,3,584.11,32.13,690.03,1010.77,1,-1,-1,-1
5,1,1328.89,272.01,413.83,806.84,1,-1,-1,-1
5,2,270.12,77.99,394.06,976.48,1,-1,-1,-1
5,3,585.48,42.86,681.56,996.60,1,-1,-1,-1
6,1,1330.07,272.92,414.48,805.34,1,-1,-1,-1
6,2,271.88,81.77,391.19,970.67,1,-1,-1,-1
6,3,583.56,56.27,675.36,984.34,1,-1,-1,-1
7,1,1327.51,272.50,417.39,806.25,1,-1,-1,-1
7,2,271.91,85.38,387.10,963.83,1,-1,-1,-1
7,3,575.24,51.30,680.30,988.40,1,-1,-1,-1
8,1,1328.57,271.63,420.17,807.30,1,-1,-1,-1
8,2,273.59,90.93,383.68,955.98,1,-1,-1,-1
8,3,526.29,55.49,684.04,989.50,1,-1,-1,-1
9,1,1330.06,274.70,420.48,804.30,1,-1,-1,-1
9,2,275.42,87.49,386.19,962.25,1,-1,-1,-1
9,3,502.41,53.34,692.49,994.99,1,-1,-1,-1
10,1,1334.98,282.59,415.98,792.36,1,-1,-1,-1
10,2,275.40,89.64,385.09,957.89,1,-1,-1,-1
10,3,491.57,50.32,700.43,998.56,1,-1,-1,-1
11,1,1332.95,284.11,417.32,791.37,1,-1,-1,-1
11,2,268.91,101.95,385.45,962.47,1,-1,-1,-1
11,3,488.58,49.04,708.04,999.36,1,-1,-1,-1
12,1,1331.39,283.26,420.13,793.12,1,-1,-1,-1
12,2,275.06,95.77,383.91,954.88,1,-1,-1,-1
12,3,455.43,47.11,732.56,1003.11,1,-1,-1,-1
13,1,1331.96,284.21,422.24,793.84,1,-1,-1,-1
13,2,277.61,93.40,384.23,952.12,1,-1,-1,-1
13,3,469.77,50.30,733.99,995.92,1,-1,-1,-1
